Producto,Categoria
aceite de coco,Ingrediente base
aceite de oliva virgen extra,Ingrediente base
agua,Ingrediente base
alimentos ultraprocesados,Ultraprocesado no saludable
almendras,Ingrediente base
altramuces hacendado,Snack procesado saludable
anacardos,Ingrediente base
apio,Ingrediente base
aquafaba,Ingrediente base
atún en agua,Ingrediente base
avellanas,Ingrediente base
avena,Ingrediente base
avena caliente,Preparación casera
avena remojada,Preparación casera
banana,Ingrediente base
banana laminada,Snack procesado saludable
barras de banana,Snack reformulado
barras de frutillas con semillas,Snack reformulado
batido de frutas con yogur,Preparación casera
bebidas isotónicas,Ultraprocesado no saludable
betaver,Ingrediente base
bombones,Ultraprocesado no saludable
cacahuetes,Ingrediente base
cacahuetes tostados 0% sal hacendado,Snack procesado saludable
calabacín rebozado,Ultraprocesado no saludable
calcetines transpirables,No relevante para snacks
camote,Ingrediente base
canela,Ingrediente base
caramelos,Ultraprocesado no saludable
cebolla,Ingrediente base
cereales de desayuno,Ultraprocesado no saludable
chips de verdura,Snack reformulado
chips hechas a base de betaver,Snack reformulado
chips hechas a base de camote,Snack reformulado
chips hechas a base de gícama,Snack reformulado
chips hechas a base de verdura,Snack reformulado
chispas de chocolate negro con nueces,Snack reformulado
chocolate negro,Snack procesado saludable
chocolate negro hacendado al 85%,Snack procesado saludable
chocolatinas,Ultraprocesado no saludable
chuches,Ultraprocesado no saludable
claras de huevo,Ingrediente base
crackers,Ultraprocesado no saludable
dominadas,No relevante para snacks
embutidos,Ultraprocesado no saludable
encurtidos,Snack procesado saludable
endivias rellenas de salmón,Preparación casera
endulzante,Ingrediente base
ensalada con legumbres,Preparación casera
ensalada de atún,Preparación casera
fiambres,Ultraprocesado no saludable
flexiones,No relevante para snacks
frambuesas,Ingrediente base
fruta,Ingrediente base
frutas,Ingrediente base
frutas frescas,Ingrediente base
frutas variadas,Ingrediente base
fruticas,Ingrediente base
frutillas,Ingrediente base
frutos rojos,Ingrediente base
frutos secos,Ingrediente base
gafas de sol deportivas,No relevante para snacks
galletas,Ultraprocesado no saludable
galletas integrales,Snack reformulado
ganchitos,Ultraprocesado no saludable
garbanzos,Ingrediente base
gorra,No relevante para snacks
gícama,Ingrediente base
helados,Ultraprocesado no saludable
hidratos de carbono de absorción lenta,Ingrediente base
hierbas provenza,Ingrediente base
huevos,Ingrediente base
jumping jacks,No relevante para snacks
leche de almendras,Snack procesado saludable
leche de vaca,Ingrediente base
lechuga,Ingrediente base
láminas de almendras,Ingrediente base
macflurry,Ultraprocesado no saludable
mantequilla de almendras,Snack procesado saludable
mantequilla de fruto seco,Snack procesado saludable
mantequilla de maní,Snack procesado saludable
manzana,Ingrediente base
mermelada sin azúcar,Snack reformulado
micro entrenamientos,No relevante para snacks
microfibras técnicas,No relevante para snacks
mug cake salado o pastel en taza de vegetales,Preparación casera
nachos de manzana,Snack reformulado
nueces,Ingrediente base
pan integral,Ingrediente base
papitas fritas,Ultraprocesado no saludable
pastelitos de queso y limón sin azúcar,Snack reformulado
patatas fritas de bolsa,Ultraprocesado no saludable
pescado en conserva,Ingrediente base
pimiento,Ingrediente base
pistachos,Ingrediente base
pizzas congeladas,Ultraprocesado no saludable
plancha abdominal,No relevante para snacks
poliéster,No relevante para snacks
productos bio,Ingrediente base
productos ecológicos,Ingrediente base
productos sin azúcar,Snack reformulado
productos sin azúcar añadido,Snack reformulado
productos sin gluten,Snack reformulado
productos sin lactosa,Snack reformulado
productos veganos,Snack reformulado
protector solar,No relevante para snacks
proteínas magras,Ingrediente base
queso cotás,Ingrediente base
queso parmesano,Ingrediente base
queso y aguacate,Preparación casera
quesos,Ingrediente base
rawmesan,Snack procesado saludable
refrescos azucarados,Ultraprocesado no saludable
rideshakes de mantequilla de almendras y mermelada,Preparación casera
ropa de colores claros,No relevante para snacks
ropa ligera,No relevante para snacks
ropa transpirable,No relevante para snacks
rábano,Ingrediente base
salchichas,Ultraprocesado no saludable
semillas,Ingrediente base
sentadillas,No relevante para snacks
snacks,Snack procesado saludable
snacks de ejercicio,Snack procesado saludable
snacks salados comerciales,Ultraprocesado no saludable
sopas preparadas,Ultraprocesado no saludable
tejidos transpirables,No relevante para snacks
tomate,Ingrediente base
tortilla con pan integral,Preparación casera
tortitas de arroz,Snack procesado saludable
tostada de pan integral,Preparación casera
vainilla,Ingrediente base
verduras,Ingrediente base
visera,No relevante para snacks
yogorriego,Ingrediente base
yogur,Ingrediente base
yogur entero natural,Ingrediente base
yogur griego,Ingrediente base
yogurt frío,Ingrediente base
zancadas laterales,No relevante para snacks
zapatillas con buena ventilación,No relevante para snacks
